1,TINYINT,int64
2,SMALLINT,int64
3,INT,int64
4,BIGINT,int64
5,DECIMAL,int64
6,REAL,float64
7,DOUBLE,float64
8,CHAR,object
9,VARCHAR,object
10,NCHAR,object
11,NVARCHAR,object
12,BINARY,object
13,VARBINARY,object
14,DATE,datetime64
15,TIME,datetime64
16,TIMESTAMP,datetime64
25,CLOB,object
26,NCLOB,object
27,BLOB,object
28,BOOLEAN,bool
29,STRING,object
30,NSTRING,object
31,BLOCATOR,object
32,NLOCATOR,object
35,VARCHAR2,object
36,VARCHAR3,object
37,NVARCHAR3,object
38,VARBINARY3,object
47,SMALLDECIMAL,float64
48,ABAPITAB,object
49,ABAPSTRUCT,object
50,ARRAY,object
51,TEXT,object
52,SHORTTEXT,object
55,ALPHANUM,object
61,LONGDATE,datetime64
62,SECONDDATE,datetime64
63,DAYDATE,datetime64
64,SECONDTIME,datetime64